Compound,Date,Negative,Neutral,News Source,Positive,Tweet Text,Tweets Ago
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,86
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,87
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,88
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,89
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,90
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,91
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",92
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,93
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",94
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",95
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",96
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,97
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,98
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,99
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,100
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",101
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,102
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",103
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,104
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,105
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,106
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,107
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,108
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,109
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,110
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,111
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",112
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,113
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",114
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",115
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",116
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,117
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,118
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,119
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,120
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",121
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,122
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",123
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,124
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,125
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,126
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,127
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,128
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,129
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,130
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,131
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",132
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,133
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",134
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",135
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",136
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,137
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,138
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,139
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,140
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",141
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,142
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",143
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,144
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,145
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,146
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,147
