Compound,Date,Negative,Neutral,News Source,Positive,Tweet Text,Tweets Ago
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",34
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",35
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",36
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,37
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,38
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,39
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,40
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",41
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,42
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",43
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,44
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,45
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,46
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,47
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,48
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,49
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,50
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,51
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",52
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,53
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",54
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",55
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",56
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,57
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,58
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,59
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,60
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",61
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,62
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",63
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,64
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,65
0.0,Sun Dec 17 05:11:39 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Taking two million photos of Obama https://t.co/VV5H7CL3xN,66
-0.3182,Sun Dec 17 01:31:50 +0000 2017,0.696,0.209,@BBCNorthAmerica,0.096,Why this US woman is backing minority gun clubs https://t.co/c7DxMOlZAC,67
0.0,Sun Dec 17 00:41:56 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Raised on Janet https://t.co/wCPRwrZlPl,68
-0.5423,Sat Dec 16 23:13:57 +0000 2017,0.667,0.333,@BBCNorthAmerica,0.0,Anita Hill to chair Hollywood harassment commission https://t.co/Zl1TGPttxq,69
0.0,Sat Dec 16 22:09:36 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Hunter Harrison: CSX railway boss dies https://t.co/0ez1YExPnA,70
0.0,Sat Dec 16 21:50:32 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Pentagon's secret UFO programme revealed https://t.co/Eat0fFAjsS,71
0.079,Sat Dec 16 21:00:03 +0000 2017,0.693,0.147,@BBCNorthAmerica,0.16,"""It was very sad to see these wonderful elders, who had been part of a community, completely lost""… https://t.co/fhfY2BP6ml",72
0.0,Sat Dec 16 20:57:50 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Santa Barbara evacuated as Thomas flares up again https://t.co/OPYS19cq5h,73
0.0,Sat Dec 16 16:10:06 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"Nobody puts Stormy in a nativity scene! 🐮

https://t.co/EHwl8tCXdP https://t.co/wVQlK4LoYm",74
0.0,Sat Dec 16 13:49:46 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"""@peterlangstan  it's time to tell you about the family business... Espionage"" 

https://t.co/n1B20fzezl https://t.co/3j7LTINYc8",75
0.0,Sat Dec 16 13:45:02 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"President Trump's nominee for a federal judge in the District of Columbia may have trained as a lawyer, but judging… https://t.co/OOCgq9nWJ4",76
0.0,Sat Dec 16 11:14:41 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,San Francisco Aquatic Park shut over 'aggressive' sea lions https://t.co/m5Dnwnrqyu,77
-0.34,Sat Dec 16 10:29:56 +0000 2017,0.806,0.194,@BBCNorthAmerica,0.0,Weinstein 'derailed my career' Sorvino says after Peter Jackson claim https://t.co/xIZ9d5LuCg,78
0.0,Sat Dec 16 01:07:19 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Deaths of Canada billionaire Barry Sherman and wife 'suspicious' https://t.co/SIFtIv6UBU,79
-0.8271,Sun Dec 17 16:55:29 +0000 2017,0.315,0.685,@BBCNorthAmerica,0.0,CIA 'helped stop Russia terror attack' https://t.co/9q6RSysdCy,80
-0.296,Sun Dec 17 15:23:05 +0000 2017,0.879,0.121,@BBCNorthAmerica,0.0,"""There's no amount of money that can compensate for the feelings you have about a place""

https://t.co/970dSalkn5 https://t.co/F4ER62EMYM",81
0.0,Sun Dec 17 14:41:40 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Christmas across US Mexico border https://t.co/OysIa0wOSr,82
0.0,Sun Dec 17 13:50:04 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,"It's time to tell you about the family business... espionage 

https://t.co/79HHDkUSjx",83
-0.7184,Sun Dec 17 12:19:08 +0000 2017,0.625,0.375,@BBCNorthAmerica,0.0,Barry Sherman: Family disputes reports on mystery double death in Canada https://t.co/W6g5VnxIk2,84
0.0,Sun Dec 17 05:58:58 +0000 2017,1.0,0.0,@BBCNorthAmerica,0.0,Trump Russia probe: Mueller has 'thousands' of transition team emails https://t.co/8b9cplUxM5,85
